('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         756817 function calls (732534 primitive calls) in 7.220 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.001    0.000    0.004    0.000 enum.py:919(_convert_)
     3157    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     2599    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
      198    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      193    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     1643    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     2733    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      175    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      134    0.001    0.000    0.003    0.000 typing.py:1242(__init__)
     1005    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      190    0.000    0.000    0.076    0.000 _parser.py:969(parse)
      166    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       86    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
      261    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      294    0.000    0.000    1.318    0.004 socket.py:693(readinto)
    444/8    0.000    0.000    0.275    0.034 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      300    0.000    0.000    0.001    0.000 filter.py:612(_attribute_match)
     1005    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
     2709    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
     2339    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      218    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
     2560    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       20    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
     1232    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      166    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      332    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      136    0.000    0.000    0.001    0.000 css_parser.py:359(__init__)
     4469    0.000    0.000    0.000    0.000 element.py:2219(__bool__)
  212/176    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      928    0.000    0.000    0.001    0.000 typing.py:1134(_is_dunder)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      261    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
     1441    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
        1    0.000    0.000    0.001    0.001 ssl.py:1309(_real_close)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      353    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      190    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
     2541    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      497    0.000    0.000    0.001    0.000 enum.py:726(__call__)
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
        6    0.000    0.000    0.002    0.000 typing.py:2780(__new__)
      190    0.000    0.000    0.047    0.000 _compiler.py:573(_code)
      556    0.000    0.000    0.001    0.000 filter.py:623(_match_attribute_value_helper)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:385(freeze)
      861    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      412    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
      198    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
     1090    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
  193/189    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       62    0.000    0.000    0.003    0.000 typing.py:687(Union)
      498    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        3    0.000    0.000    0.000    0.000 socket.py:221(__init__)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      122    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      404    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
  734/677    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      294    0.000    0.000    1.316    0.004 ssl.py:1095(read)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x72eee04ffce0}
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
        1    0.000    0.000    0.005    0.005 socket.py:1(<module>)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       51    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        7    0.000    0.000    0.000    0.000 typing.py:1070(<genexpr>)
      732    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      175    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      492    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      497    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      973    0.000    0.000    0.000    0.000 filter.py:292(matches_string)
     1273    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
      175    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
     1090    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    1.832    1.832 financial.py:8(get_data)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
       24    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
     1042    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       39    0.000    0.000    0.454    0.012 response.py:1173(read_chunked)
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
       75    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      122    0.000    0.000    0.002    0.000 _htmlparser.py:285(handle_comment)
       99    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
       83    0.000    0.000    0.001    0.000 typing_extensions.py:3029(_collect_parameters)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
       54    0.000    0.000    0.002    0.000 typing.py:1449(__getitem__)
  167/164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      664    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        1    0.000    0.000    6.945    6.945 financial.py:44(main)
      176    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      424    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      258    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      739    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      199    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       83    0.000    0.000    0.000    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
      138    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
      323    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
       22    0.000    0.000    0.002    0.000 enum.py:528(__new__)
      302    0.000    0.000    0.129    0.000 __init__.py:226(compile)
      318    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
        3    0.000    0.000    0.010    0.003 utils.py:1(<module>)
      216    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      613    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      405    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
        1    0.000    0.000    0.048    0.048 dammit.py:1(<module>)
       62    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
      613    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      294    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      387    0.000    0.000    0.000    0.000 element.py:2160(get)
        1    0.000    0.000    0.000    0.000 {built-in method zlib.decompressobj}
      248    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      526    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      190    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
       43    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
      347    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      238    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      166    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
       38    0.000    0.000    0.446    0.012 response.py:1151(_handle_chunk)
      218    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      341    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      520    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      299    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
       49    0.000    0.000    0.873    0.018 {method 'readline' of '_io.BufferedReader' objects}
      522    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      380    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      108    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      346    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.000    0.000    0.001    0.001 pathlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:84(__init__)
      190    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       58    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
       75    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
    66/35    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
    79/46    0.000    0.000    0.150    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      200    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
       60    0.000    0.000    0.001    0.000 typing.py:1458(copy_with)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
    30/17    0.000    0.000    0.177    0.010 {built-in method builtins.__import__}
      504    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      295    0.000    0.000    0.000    0.000 socket.py:732(readable)
    42/30    0.000    0.000    0.011    0.000 css_parser.py:569(parse_pseudo_class)
      318    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
    38/29    0.000    0.000    0.011    0.000 css_parser.py:732(parse_pseudo_open)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
      519    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      176    0.000    0.000    0.007    0.000 _parser.py:98(closegroup)
        1    0.000    0.000    0.120    0.120 element.py:1(<module>)
       50    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
