('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         770088 function calls (745963 primitive calls) in 2.028 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       89    0.000    0.000    0.008    0.000 dataclasses.py:449(_create_fn)
     2709    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
      251    0.000    0.000    0.248    0.001 http11.py:196(_receive_response_body)
      281    0.000    0.000    0.000    0.000 dataclasses.py:461(<genexpr>)
    209/6    0.000    0.000    0.269    0.045 <frozen importlib._bootstrap_external>:989(exec_module)
     2560    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
       59    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
      130    0.000    0.000    0.001    0.000 enum.py:390(__setitem__)
      195    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
     3067    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
  236/233    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     4469    0.000    0.000    0.000    0.000 element.py:2219(__bool__)
      251    0.000    0.000    0.275    0.001 _models.py:884(iter_bytes)
      255    0.000    0.000    0.001    0.000 _state.py:318(_fire_state_triggered_transitions)
      848    0.000    0.000    0.001    0.000 contextlib.py:132(__enter__)
       81    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
  215/175    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      627    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      209    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
     1045    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      421    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
      195    0.000    0.000    0.045    0.000 _compiler.py:573(_code)
      513    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      292    0.000    0.000    1.115    0.004 ssl.py:1226(recv)
      251    0.000    0.000    0.270    0.001 _models.py:935(iter_raw)
      251    0.000    0.000    0.000    0.000 _events.py:299(__init__)
      136    0.000    0.000    0.001    0.000 css_parser.py:359(__init__)
        3    0.000    0.000    0.001    0.000 typing.py:2761(_make_nmtuple)
      276    0.000    0.000    0.002    0.000 typing.py:1147(__init__)
      306    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:385(freeze)
      265    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:416(__enter__)
      540    0.000    0.000    0.000    0.000 _receivebuffer.py:77(maybe_extract_at_most)
      218    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      297    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
        2    0.000    0.000    0.014    0.007 http11.py:1(<module>)
     1831    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      218    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      556    0.000    0.000    0.001    0.000 filter.py:623(_match_attribute_value_helper)
      553    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      657    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       90    0.000    0.000    0.003    0.000 typing.py:1449(__getitem__)
      224    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
      292    0.000    0.000    1.115    0.004 ssl.py:1095(read)
     1313    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
