('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         756622 function calls (732373 primitive calls) in 1.889 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      218    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      218    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      216    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      216    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      216    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
  212/176    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      200    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
      199    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      198    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      198    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      194    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
    193/4    0.001    0.000    0.265    0.066 <frozen importlib._bootstrap>:911(_load_unlocked)
  193/189    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      193    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      192    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      190    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      190    0.000    0.000    0.074    0.000 _parser.py:969(parse)
      190    0.001    0.000    0.008    0.000 _compiler.py:511(_compile_info)
      190    0.001    0.000    0.119    0.001 _compiler.py:740(compile)
      190    0.000    0.000    0.044    0.000 _compiler.py:573(_code)
      190    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      190    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      190    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      181    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      176    0.000    0.000    0.007    0.000 _parser.py:98(closegroup)
      176    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      175    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      175    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      175    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      171    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
    168/1    0.001    0.000    1.889    1.889 {built-in method builtins.exec}
      167    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
  167/164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      166    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      166    0.018    0.000    0.018    0.000 {built-in method marshal.loads}
      166    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
      166    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      166    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      166    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
      166    0.001    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
    166/4    0.000    0.000    0.265    0.066 <frozen importlib._bootstrap_external>:989(exec_module)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
      166    0.002    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      161    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
      155    0.000    0.000    0.000    0.000 enum.py:1292(value)
      141    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      138    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
      136    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:385(freeze)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
      134    0.001    0.000    0.003    0.000 typing.py:1242(__init__)
  133/115    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
      130    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      130    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
      127    0.000    0.000    0.000    0.000 typing.py:1454(<genexpr>)
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      122    0.002    0.000    0.004    0.000 _compiler.py:467(_get_charset_prefix)
      122    0.000    0.000    0.002    0.000 _htmlparser.py:285(handle_comment)
      122    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      119    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      114    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      110    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      108    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      106    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
      104    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      104    0.000    0.000    0.000    0.000 <frozen os>:703(__iter__)
      104    0.000    0.000    0.000    0.000 <frozen _collections_abc>:868(__iter__)
      102    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       99    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
       97    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
    87/62    0.000    0.000    0.004    0.000 typing.py:508(__getitem__)
       86    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
    84/82    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
       83    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       83    0.000    0.000    0.001    0.000 typing_extensions.py:3029(_collect_parameters)
       83    0.000    0.000    0.000    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
    79/46    0.000    0.000    0.143    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       77    0.000    0.000    0.005    0.000 css_parser.py:462(parse_attribute_selector)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       75    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       75    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       73    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
       72    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
    71/51    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
       67    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       67    0.000    0.000    0.000    0.000 typing_extensions.py:2976(_is_unpacked_typevartuple)
    66/35    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
    66/35    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       64    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
       64    0.000    0.000    0.001    0.000 typing.py:885(__init__)
       63    0.000    0.000    0.000    0.000 typing.py:317(_deduplicate)
       62    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       62    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
       62    0.000    0.000    0.003    0.000 typing.py:687(Union)
       60    0.000    0.000    0.001    0.000 typing.py:1458(copy_with)
       58    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
       58    0.001    0.000    0.333    0.006 client.py:633(_safe_read)
       57    0.000    0.000    0.002    0.000 _htmlparser.py:127(handle_startendtag)
       55    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       55    0.000    0.000    0.000    0.000 __init__.py:255(escape)
       54    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       54    0.000    0.000    0.002    0.000 typing.py:1449(__getitem__)
       54    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
       54    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
    52/14    0.001    0.000    0.014    0.001 css_parser.py:911(parse_selectors)
       51    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       51    0.001    0.000    0.002    0.000 <frozen abc>:105(__new__)
       51    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
       50    0.000    0.000    0.000    0.000 element.py:2272(__eq__)
       50    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
       49    0.000    0.000    0.851    0.017 {method 'readline' of '_io.BufferedReader' objects}
       46    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       46    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
       45    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       45    0.000    0.000    0.000    0.000 typing.py:944(__hash__)
       44    0.000    0.000    0.000    0.000 enum.py:1394(_iter_member_by_value_)
       44    0.000    0.000    0.000    0.000 enum.py:117(_iter_bits_lsb)
       44    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
       43    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       43    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
       43    0.001    0.000    0.007    0.000 filter.py:129(filter)
       43    0.000    0.000    0.000    0.000 enum.py:820(<genexpr>)
       43    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
       43    0.000    0.000    0.000    0.000 enum.py:93(_is_single_bit)
    42/30    0.000    0.000    0.011    0.000 css_parser.py:569(parse_pseudo_class)
       42    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
       42    0.000    0.000    0.000    0.000 __init__.py:609(__missing__)
       39    0.002    0.000    0.008    0.000 response.py:122(decompress)
       39    0.000    0.000    0.343    0.009 response.py:1044(stream)
       39    0.000    0.000    0.343    0.009 response.py:1173(read_chunked)
       39    0.000    0.000    0.343    0.009 models.py:816(generate)
       39    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
       38    0.007    0.000    0.007    0.000 {method 'decompress' of 'zlib.Decompress' objects}
       38    0.000    0.000    0.009    0.000 response.py:469(_decode)
       38    0.000    0.000    0.334    0.009 response.py:1151(_handle_chunk)
    38/29    0.000    0.000    0.010    0.000 css_parser.py:732(parse_pseudo_open)
       37    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       37    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       36    0.000    0.000    0.000    0.000 <frozen _collections_abc>:435(__subclasshook__)
       34    0.000    0.000    0.001    0.000 ipaddress.py:2238(__init__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
